Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
596160.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604800.000000000,19286.000000,604.000000,1151.000000,2.000000,547.000000,547.000000,14662.000000,1.000000,2.000000,45.000000,4.000000,10.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,10.000000,6.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,5.000000,2.000000,27.000000,0.000000,1.000000,10.800000,6.840000,0.456000,0.192000,34.650000,14.000000,32.800000,-0.100000,0.000000,9.000000,-1.000000,-1.000000,-1.000000,-1.000000,7.800000,9.600000,9.960000,7.800000,9.600000,9.960000,7.800000,9.600000,9.960000,0.020000,0.580000,0.180000,1.040000,7.125000,8.625000,10.875000,16.600000,20.600000,27.200000,0.420000,0.520000,0.660000,0.400000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3882.000000
613440.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622080.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630720.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639360.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648000.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656640.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665280.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673920.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682560.000000000,,-1.000000,-1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
